company,product,category,screen(pixel),ram(GB),gpu,os,os_version,weigth(kg),price,resolution,screentype,touchscreen,cpu_name,cpu_speed(GHz),cpu_brand,storage_1(GB),storage_2(GB),storage_1_type,storage_2_type,gpu_name
Apple,MacBook Pro,Ultrabook,15.4,16,AMD Radeon Pro 555,macOS,macOS ,1.83,21696213.24,2880x1800,IPSPanelRetinaDisplay,0.0,Intel Core i7,2.8,Intel,256.0,0.0,SSD,,AMD
Dell,Inspiron 3567,Notebook,15.6,4,AMD Radeon R5 M430,Windows,Windows 10,2.2,4436218.8,1920x1080,,0.0,Intel Core i3 6006U,2.0,Intel,256.0,0.0,SSD,,AMD
Apple,"MacBook 12""",Ultrabook,12.0,8,Intel HD Graphics 615,macOS,macOS ,0.92,11225260.8,2304x1440,IPSPanelRetinaDisplay,0.0,Intel Core M m3,1.2,Intel,256.0,0.0,SSD,,Intel
Apple,MacBook Pro,Ultrabook,13.3,8,Intel Iris Plus Graphics 640,macOS,macOS ,1.37,13502946.6,2560x1600,IPSPanelRetinaDisplay,0.0,Intel Core i5,2.3,Intel,256.0,0.0,SSD,,Intel
Dell,Inspiron 3567,Notebook,15.6,8,AMD Radeon R5 M430,Windows,Windows 10,2.2,6624540.0,1920x1080,,0.0,Intel Core i7 7500U,2.7,Intel,256.0,0.0,SSD,,AMD
Apple,MacBook Pro,Ultrabook,15.4,16,AMD Radeon Pro 560,macOS,macOS ,1.83,25413336.0,2880x1800,IPSPanelRetinaDisplay,0.0,Intel Core i7,2.9,Intel,512.0,0.0,SSD,,AMD
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,Nvidia GeForce 940MX,No OS,No OS ,2.2,4437108.0,1920x1080,,0.0,Intel Core i3 7100U,2.4,Intel,1000.0,0.0,HDD,,Nvidia
Dell,XPS 13,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows,Windows 10,1.22,8705268.0,1920x1080,IPSPanel,1.0,Intel Core i5 8250U,1.6,Intel,128.0,0.0,SSD,,Intel
Asus,Vivobook E200HA,Netbook,11.6,2,Intel HD Graphics 400,Windows,Windows 10,0.98,1706374.8,1366x768,,0.0,Intel Atom x5-Z8350,1.44,Intel,32.0,0.0,Flash Storage,,Intel
Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,Windows 10,2.5,8883108.0,1920x1080,IPSPanel,0.0,Intel Core i5 7300HQ,2.5,Intel,128.0,1000.0,SSD  ,HDD,Nvidia
HP,255 G6,Notebook,15.6,4,AMD Radeon R2,No OS,No OS ,1.86,2294136.0,1366x768,,0.0,AMD E-Series E2-9000e,1.5,AMD,500.0,0.0,HDD,,AMD
Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows,Windows 10,1.62,7282548.0,1920x1080,,1.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8,Intel HD Graphics 620,Windows,Windows 10,1.91,5859828.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,Intel
Dell,Inspiron 3567,Notebook,15.6,4,Intel HD Graphics 520,Windows,Windows 10,2.3,3722546.88,1366x768,,0.0,Intel Core i3 6006U,2.0,Intel,1000.0,0.0,HDD,,Intel
Apple,MacBook Air,Ultrabook,13.3,8,Intel HD Graphics 6000,Mac OS,Mac OS X,1.35,9772308.0,1440x900,,0.0,Intel Core i5,1.6,Intel,128.0,0.0,Flash Storage,,Intel
Dell,Inspiron 5570,Notebook,15.6,8,AMD Radeon 530,Windows,Windows 10,2.2,7113600.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,AMD
Dell,Latitude 5590,Ultrabook,15.6,8,Intel UHD Graphics 620,Windows,Windows 10,1.88,11541816.0,1920x1080,,0.0,Intel Core i7 8650U,1.9,Intel,256.0,256.0,SSD  ,SSD,Intel
HP,ProBook 470,Notebook,17.3,8,Nvidia GeForce 930MX,Windows,Windows 10,2.5,7967232.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,1000.0,0.0,HDD,,Nvidia
Chuwi,"LapBook 15.6""",Notebook,15.6,4,Intel HD Graphics,Windows,Windows 10,1.89,2178451.08,1920x1080,,0.0,Intel Atom x5-Z8300,1.44,Intel,64.0,0.0,Flash Storage,,Intel
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,2,AMD Radeon R2,Windows,Windows 10,1.65,1769508.0,1366x768,,0.0,AMD E-Series E2-6110,1.5,AMD,32.0,0.0,Flash Storage,,AMD
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4,AMD Radeon 530,Windows,Windows 10,2.71,3903588.0,1920x1080,,0.0,AMD A6-Series 9220,2.5,AMD,500.0,0.0,HDD,,AMD
Dell,XPS 13,Ultrabook,13.3,16,Intel UHD Graphics 620,Windows,Windows 10,1.2,16619148.0,3200x1800,,1.0,Intel Core i7 8550U,1.8,Intel,512.0,0.0,SSD,,Intel
Apple,MacBook Air,Ultrabook,13.3,8,Intel HD Graphics 6000,Mac OS,Mac OS X,1.35,8874216.0,1440x900,,0.0,Intel Core i5,1.6,Intel,256.0,0.0,Flash Storage,,Intel
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4,Intel HD Graphics 500,Windows,Windows 10,1.44,2214108.0,1366x768,,0.0,Intel Celeron Dual Core N3350,1.1,Intel,64.0,0.0,Flash Storage,,Intel
Acer,Aspire 3,Notebook,15.6,4,Intel HD Graphics 620,Linux,Linux ,2.1,3263364.0,1366x768,,0.0,Intel Core i3 7130U,2.7,Intel,1000.0,0.0,HDD,,Intel
Dell,Inspiron 5770,Notebook,17.3,8,AMD Radeon 530,Windows,Windows 10,2.8,8705268.0,1920x1080,IPSPanel,0.0,Intel Core i5 8250U,1.6,Intel,128.0,1000.0,SSD  ,HDD,AMD
HP,250 G6,Notebook,15.6,4,Intel HD Graphics 620,Windows,Windows 10,1.86,4345431.48,1366x768,,0.0,Intel Core i5 7200U,2.5,Intel,1000.0,0.0,HDD,,Intel
HP,ProBook 450,Notebook,15.6,8,Nvidia GeForce 930MX ,Windows,Windows 10,2.1,7816068.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Nvidia
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4,Intel HD Graphics 620,Linux,Linux ,2.0,3458988.0,1920x1080,,0.0,Intel Core i3 6006U,2.0,Intel,1000.0,0.0,HDD,,Intel
Dell,Inspiron 7577,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows,Windows 10,2.65,13329108.0,1920x1080,IPSPanel,0.0,Intel Core i7 7700HQ,2.8,Intel,256.0,1000.0,SSD  ,HDD,Nvidia
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,8,Nvidia GeForce 940MX,Linux,Linux ,2.3,4650427.08,1366x768,,0.0,Intel Core i5 7200U,2.5,Intel,1000.0,0.0,HDD,,Nvidia
Acer,Aspire A515-51G,Notebook,15.6,4,Intel UHD Graphics 620,Windows,Windows 10,2.2,6064344.0,1920x1080,IPSPanel,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
Dell,Inspiron 7773,2 in 1 Convertible,17.3,12,Nvidia GeForce 150MX,Windows,Windows 10,2.77,8883108.0,1920x1080,,1.0,Intel Core i5 8250U,1.6,Intel,1000.0,0.0,HDD,,Nvidia
Apple,MacBook Pro,Ultrabook,13.3,8,Intel Iris Graphics 540,macOS,macOS ,1.37,12617748.0,2560x1600,IPSPanelRetinaDisplay,0.0,Intel Core i5,2.0,Intel,256.0,0.0,SSD,,Intel
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,Intel HD Graphics 520,No OS,No OS ,2.2,3281148.0,1366x768,,0.0,Intel Core i3 6006U,2.0,Intel,128.0,0.0,SSD,,Intel
Asus,Rog Strix,Gaming,17.3,8,AMD Radeon RX 580,Windows,Windows 10,3.2,11550708.0,1920x1080,,0.0,AMD Ryzen 1700,3.0,AMD,256.0,1000.0,SSD  ,HDD,AMD
Dell,Inspiron 3567,Notebook,15.6,4,AMD Radeon R5 M430,Windows,Windows 10,2.3,5681988.0,1920x1080,,0.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,AMD
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,4,Nvidia GeForce 920MX,Windows,Windows 10,2.8,4143672.0,1366x768,,0.0,Intel Pentium Quad Core N4200,1.1,Intel,1000.0,0.0,HDD,,Nvidia
Lenovo,Yoga Book,2 in 1 Convertible,10.1,4,Intel HD Graphics 400,Android,Android ,0.69,2836548.0,1920x1200,IPSPanel,1.0,Intel Atom x5-Z8550,1.44,Intel,64.0,0.0,Flash Storage,,Intel
Acer,Aspire A515-51G,Notebook,15.6,8,Nvidia GeForce MX150,Windows,Windows 10,2.2,7478172.0,1920x1080,IPSPanel,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,Nvidia
HP,255 G6,Notebook,15.6,4,AMD Radeon R4 Graphics,Windows,Windows 10,1.86,3543373.08,1920x1080,,0.0,AMD A6-Series 9220,2.5,AMD,256.0,0.0,SSD,,AMD
HP,ProBook 430,Notebook,13.3,8,Intel UHD Graphics 620,Windows,Windows 10,1.49,9807876.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,512.0,0.0,SSD,,Intel
Acer,Aspire 3,Notebook,15.6,4,Intel HD Graphics 620,Windows,Windows 10,2.4,3414528.0,1366x768,,0.0,Intel Core i3 7100U,2.4,Intel,1000.0,0.0,HDD,,Intel
Dell,Inspiron 3576,Notebook,15.6,8,AMD Radeon 520,Windows,Windows 10,2.13,6827277.6,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,AMD
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,4,Intel HD Graphics 520,Windows,Windows 10,1.91,3903588.0,1920x1080,,0.0,Intel Core i3 6006U,2.0,Intel,128.0,0.0,SSD,,Intel
Asus,VivoBook Max,Notebook,15.6,4,Intel HD Graphics 620,Windows,Windows 10,2.0,5212401.48,1366x768,,0.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Intel
MSI,GS73VR 7RG,Gaming,17.3,16,Nvidia GeForce GTX 1070,Windows,Windows 10,2.43,21776508.0,1920x1080,,0.0,Intel Core i7 7700HQ,2.8,Intel,256.0,2000.0,SSD  ,HDD,Nvidia
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,4,Intel HD Graphics 520,Linux,Linux ,2.0,3690180.0,1920x1080,,0.0,Intel Core i3 6006U,2.0,Intel,256.0,0.0,SSD,,Intel
Dell,Inspiron 5770,Notebook,17.3,16,AMD Radeon 530,Windows,Windows 10,2.8,11550708.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,256.0,2000.0,SSD  ,HDD,AMD
Dell,Vostro 5471,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows,Windows 10,1.7,7816068.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,8,Intel HD Graphics 620,No OS,No OS ,1.7,5326308.0,1920x1080,IPSPanel,0.0,Intel Core i3 7130U,2.7,Intel,256.0,0.0,SSD,,Intel
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,8,Intel UHD Graphics 620,Windows,Windows 10,1.4,8367372.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
HP,250 G6,Notebook,15.6,8,Intel HD Graphics 620,Windows,Windows 10,1.86,6135480.0,1920x1080,,0.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Intel
Asus,ZenBook Pro,Ultrabook,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,Windows 10,1.8,17632836.0,1920x1080,,0.0,Intel Core i7 7700HQ,2.8,Intel,512.0,0.0,SSD,,Nvidia
HP,250 G6,Notebook,15.6,4,AMD Radeon 520,Windows,Windows 10,1.86,3900831.48,1366x768,,0.0,Intel Core i3 6006U,2.0,Intel,500.0,0.0,HDD,,AMD
HP,Stream 14-AX040wm,Notebook,14.0,4,Intel HD Graphics 400,Windows,Windows 10,1.44,2036268.0,1366x768,,0.0,Intel Celeron Dual Core N3060,1.6,Intel,32.0,0.0,SSD,,Intel
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,4,Intel HD Graphics 620,Windows,Windows 10,1.9,4881708.0,1920x1080,,0.0,Intel Core i5 7200U,2.5,Intel,1000.0,0.0,HDD,,Intel
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,12,Nvidia GeForce GTX 1050 Ti,Linux,Linux ,3.0,8438508.0,1920x1080,,0.0,Intel Core i7 7700HQ,2.8,Intel,1000.0,0.0,HDD,,Nvidia
Microsoft,Surface Laptop,Ultrabook,13.5,4,Intel HD Graphics 620,Windows,Windows 10 S,1.252,9683388.0,2256x1504,,1.0,Intel Core i5 7200U,2.5,Intel,128.0,0.0,SSD,,Intel
Dell,Inspiron 5370,Ultrabook,13.3,8,AMD Radeon 530,Windows,Windows 10,1.4,8491860.0,1920x1080,IPSPanel,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,AMD
Dell,Inspiron 5570,Notebook,15.6,8,AMD Radeon 530,Windows,Windows 10,2.2,7736040.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,AMD
MSI,GL72M 7RDX,Gaming,17.3,8,Nvidia GeForce GTX 1050,Windows,Windows 10,2.7,9736740.0,1920x1080,,0.0,Intel Core i5 7300HQ,2.5,Intel,128.0,1000.0,SSD  ,HDD,Nvidia
Acer,Aspire E5-475,Notebook,14.0,8,Intel HD Graphics 520,Windows,Windows 10,2.1,3458988.0,1366x768,,0.0,Intel Core i3 6006U,2.0,Intel,1000.0,0.0,HDD,,Intel
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,Windows 10,2.2,8438508.0,1920x1080,,0.0,Intel Core i7 7700HQ,2.8,Intel,1000.0,0.0,HDD,,Nvidia
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,Intel HD Graphics 620,No OS,No OS ,2.2,4614948.0,1920x1080,,0.0,Intel Core i5 7200U,2.5,Intel,2000.0,0.0,HDD,,Intel
Dell,Inspiron 5570,Notebook,15.6,8,Intel UHD Graphics 620,Windows,Windows 10,2.02,7602660.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,128.0,1000.0,SSD  ,HDD,Intel
Acer,Aspire A515-51G-32MX,Notebook,15.6,4,Nvidia GeForce MX130,Windows,Windows 10,2.2,4712760.0,1920x1080,,0.0,Intel Core i3 7130U,2.7,Intel,1000.0,0.0,HDD,,Nvidia
HP,ProBook 470,Notebook,17.3,8,Nvidia GeForce 930MX,Windows,Windows 10,2.5,8687484.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,128.0,1000.0,SSD  ,HDD,Nvidia
Dell,Latitude 5590,Ultrabook,15.6,8,Intel UHD Graphics 620,Windows,Windows 10,1.88,9747054.72,1920x1080,IPSPanel,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
Apple,"MacBook 12""",Ultrabook,12.0,8,Intel HD Graphics 615,macOS,macOS ,0.92,13426920.0,2304x1440,IPSPanelRetinaDisplay,0.0,Intel Core i5,1.3,Intel,512.0,0.0,SSD,,Intel
HP,ProBook 440,Notebook,14.0,8,Intel HD Graphics 620,Windows,Windows 10,1.63,7647120.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
Lenovo,IdeaPad 320-15AST,Notebook,15.6,4,AMD R4 Graphics,Windows,Windows 10,2.2,3547908.0,1920x1080,,0.0,AMD A6-Series 9220,2.5,AMD,128.0,0.0,SSD,,AMD
Acer,Aspire 3,Notebook,15.6,4,AMD Radeon R5,Windows,Windows 10,2.1,3512340.0,1366x768,,0.0,AMD A9-Series 9420,3.0,AMD,1000.0,0.0,HDD,,AMD
Dell,Inspiron 7577,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,Windows 10,2.65,11995308.0,1920x1080,IPSPanel,0.0,Intel Core i7 7700HQ,2.8,Intel,128.0,1000.0,SSD  ,HDD,Nvidia
HP,Pavilion 15-CK000nv,Ultrabook,15.6,8,Nvidia GeForce GTX 940MX,Windows,Windows 10,1.83,6215508.0,1920x1080,IPSPanel,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,Nvidia
HP,250 G6,Notebook,15.6,8,Intel HD Graphics 620,Windows,Windows 10,1.96,5326219.08,1920x1080,,0.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Intel
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows,Windows 10,2.2,12884508.0,1920x1080,IPSPanel,0.0,Intel Core i7 7700HQ,2.8,Intel,128.0,1000.0,SSD  ,HDD,Nvidia
Dell,XPS 13,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows,Windows 10,1.21,14662908.0,1920x1080,IPSPanel,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,Intel
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,8,AMD Radeon RX 560,Windows,Windows 10,2.45,6215508.0,1920x1080,,0.0,AMD FX 9830P,3.0,AMD,1000.0,0.0,HDD,,AMD
Acer,Aspire 5,Notebook,15.6,8,Nvidia GeForce MX150,Windows,Windows 10,2.2,6126588.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,1000.0,0.0,HDD,,Nvidia
HP,Probook 430,Notebook,13.3,16,Intel UHD Graphics 620,Windows,Windows 10,1.49,10643724.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,512.0,0.0,SSD,,Intel
Dell,Inspiron 7577,Gaming,15.6,8,Nvidia GeForce GTX 1060,Windows,Windows 10,2.65,10625940.0,1920x1080,,0.0,Intel Core i5 7300HQ,2.5,Intel,256.0,0.0,SSD,,Nvidia
Asus,Zenbook UX430UA,Ultrabook,14.0,8,Intel HD Graphics 620,Windows,Windows 10,1.25,9327708.0,1920x1080,,0.0,Intel Core i7 7500U,2.7,Intel,256.0,0.0,SSD,,Intel
Acer,Spin 5,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows,Windows 10,1.5,7531524.0,1920x1080,IPSPanel,1.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
Dell,Inspiron 3567,Notebook,15.6,8,AMD Radeon R5 M430,Linux,Linux ,2.2,5334310.8,1920x1080,,0.0,Intel Core i7 7500U,2.7,Intel,1000.0,0.0,HDD,,AMD
Dell,Inspiron 3567,Notebook,15.6,4,AMD Radeon R5 M430,Linux,Linux ,2.2,4312620.0,1920x1080,,0.0,Intel Core i3 6006U,2.0,Intel,256.0,0.0,SSD,,AMD
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,6,Nvidia GeForce 920M,Windows,Windows 10,2.0,5130684.0,1920x1080,,0.0,Intel Core i3 7100U,2.4,Intel,256.0,0.0,SSD,,Nvidia
HP,Omen 15-ce007nv,Gaming,15.6,12,Nvidia GeForce GTX 1050,Windows,Windows 10,2.62,11106108.0,1920x1080,IPSPanel,0.0,Intel Core i7 7700HQ,2.8,Intel,128.0,1000.0,SSD  ,HDD,Nvidia
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,8,AMD Radeon 530,Windows,Windows 10,1.91,6393348.0,1920x1080,,0.0,Intel Core i7 7500U,2.7,Intel,256.0,0.0,SSD,,AMD
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,4,AMD Radeon R2,Windows,Windows 10,2.1,3103308.0,1920x1080,,0.0,AMD E-Series E2-9000e,1.5,AMD,500.0,0.0,HDD,,AMD
Dell,Inspiron 3576,Notebook,15.6,8,AMD Radeon 520,Linux,Linux ,2.2,5753124.0,1920x1080,,0.0,Intel Core i5 8250U,1.6,Intel,1000.0,0.0,HDD,,AMD
HP,Envy 13-ad009n,Ultrabook,13.3,8,Nvidia GeForce MX150,Windows,Windows 10,1.38,9950148.0,1920x1080,IPSPanel,0.0,Intel Core i7 7500U,2.7,Intel,256.0,0.0,SSD,,Nvidia
Microsoft,Surface Laptop,Ultrabook,13.5,8,Intel HD Graphics 620,Windows,Windows 10 S,1.252,11915280.0,2256x1504,,1.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Intel
HP,Pavilion 14-BK001nv,Notebook,14.0,6,Nvidia GeForce 940MX,Windows,Windows 10,1.58,5859828.0,1920x1080,IPSPanel,0.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Nvidia
Lenovo,Ideapad 310-15ISK,Notebook,15.6,4,Intel HD Graphics 520,Windows,Windows 10,1.85,3689290.8,1920x1080,,0.0,Intel Core i3 6006U,2.0,Intel,1000.0,0.0,HDD,,Intel
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,8,Nvidia GeForce 940MX,Windows,Windows 10,1.3,10608156.0,1920x1080,IPSPanel,0.0,Intel Core i7 7500U,2.7,Intel,256.0,0.0,SSD,,Nvidia
MSI,GP62M 7REX,Gaming,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows,Windows 10,2.2,11550708.0,1920x1080,,0.0,Intel Core i7 7700HQ,2.8,Intel,256.0,1000.0,SSD  ,HDD,Nvidia
Lenovo,Thinkpad T470,Notebook,14.0,8,Intel HD Graphics 620,Windows,Windows 10,1.58,13160160.0,1920x1080,IPSPanel,0.0,Intel Core i7 7500U,2.7,Intel,256.0,0.0,SSD,,Intel
Asus,VivoBook S15,Ultrabook,15.6,16,Nvidia GeForce MX150,Windows,Windows 10,1.5,11221704.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,256.0,1000.0,SSD  ,HDD,Nvidia
Dell,XPS 13,Ultrabook,13.3,8,Intel Iris Plus Graphics 640,Windows,Windows 10,1.23,12262068.0,3200x1800,,1.0,Intel Core i7 7560U,2.4,Intel,256.0,0.0,SSD,,Intel
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,8,Intel HD Graphics 620,Windows,Windows 10,1.37,12439908.0,1920x1080,IPSPanel,1.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Intel
HP,Probook 440,Notebook,14.0,4,Intel UHD Graphics 620,Windows,Windows 10,1.63,6420024.0,1366x768,IPSPanel,0.0,Intel Core i5 8250U,1.6,Intel,500.0,0.0,HDD,,Intel
Dell,XPS 13,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows,Windows 10,1.21,14485068.0,1920x1080,IPSPanel,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
HP,Spectre x360,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows,Windows 10,1.26,12439819.08,1920x1080,IPSPanel,1.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
HP,Probook 440,Notebook,14.0,8,Intel UHD Graphics 620,Windows,Windows 10,1.63,9638928.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,512.0,0.0,SSD,,Intel
Dell,Inspiron 7570,Notebook,15.6,8,Nvidia GeForce 940MX,Windows,Windows 10,2.16,10050894.36,1920x1080,IPSPanel,0.0,Intel Core i7 8550U,1.8,Intel,256.0,1000.0,SSD  ,HDD,Nvidia
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,4,Nvidia GeForce 920MX,Windows,Windows 10,2.0,5015088.0,1920x1080,,0.0,Intel Core i3 6006U,2.0,Intel,1000.0,0.0,HDD,,Nvidia
Asus,VivoBook S15,Notebook,15.6,8,Nvidia GeForce 940MX,Windows,Windows 10,1.7,9941256.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,256.0,0.0,SSD,,Nvidia
Acer,Spin 3,Notebook,15.6,6,Intel HD Graphics 620,Windows,Windows 10,2.1,4259268.0,1920x1080,IPSPanel,1.0,Intel Core i3 7100U,2.4,Intel,1000.0,0.0,HDD,,Intel
MSI,GS63VR 7RG,Gaming,15.6,16,Nvidia GeForce GTX 1070,Windows,Windows 10,1.8,19931418.0,1920x1080,,0.0,Intel Core i7 7700HQ,2.8,Intel,256.0,2000.0,SSD  ,HDD,Nvidia
